created_at,tweet,username,hashtags,cashtags,retweets_count,likes_count,replies_count
2021-11-30 16:42:12 UTC,🚀  has announced that it is now available on #Avalanche.  📌 Cook is the first ever #DeFi Index platform launched on   📌 Cook is a decentralized finance &amp; offers it up as a carefully curated menu of indexes.  🔗 https://t.co/u2kbGyyg8R  #AvalancheSpace  https://t.co/t1zyevZkzZ,avalanche_space,"['avalanche', 'defi', 'avalanchespace']",[],74,131,21
2021-11-30 16:06:09 UTC,🚀  is now  available on  under  network.  🚀 #RUGenerous is a decentralized reserve currency protocol available on the #Avalanche network. $RUG is currently backed by $AVAX &amp; MIM in the treasury.  🔗 https://t.co/OiGrrXnGM3  #AvalancheSpace  https://t.co/WJREP3uSnV,avalanche_space,"['rugenerous', 'avalanche', 'avalanchespace']","['rug', 'avax']",66,139,19
2021-11-30 15:35:44 UTC,"🐔  that lay $egg. NFT token creators on #Avalanche.  🐣 $egg - dropping December 12, 22:00 UTC. on #AVAX  🥚Roost chikn to lay $egg 🥚Stake $egg to farm for $feed 🥚 $feed, &amp; grow, your chikn  🔽INFO  https://t.co/uizr2OdR2W  #AvalancheSpace",avalanche_space,"['avalanche', 'avax', 'avalanchespace']","['egg', 'egg', 'egg', 'egg', 'feed', 'feed']",64,149,19
2021-11-30 13:59:43 UTC,🦁  will be hosting the $AVAO Initial Farm Offering (IFO) .  🦁 This IFO for AvaOne Finance as it provides many opportunities for #Defi users &amp; investors in the #Avalanche community.  🔽Details  https://t.co/eDbNS3MzDJ #AvalancheSpace #Avalanche,avalanche_space,"['defi', 'avalanche', 'avalanchespace', 'avalanche']",[],82,193,32
2021-11-30 07:14:35 UTC,💟 partnership   💟 &amp;  technical guide,avalanche_space,[],[],0,4,0
2021-11-30 07:13:47 UTC,AvalancheSpace Daily Digest 11/29/2021  💟  add $xJOE as a collateral  💟 Newsletter #25  💟 is now   💟  $WHEAT is now on   💟  Ambassadorship program  💟 weekly newsletter  https://t.co/Oe7xWgvsz1,avalanche_space,[],"['xjoe', 'wheat']",94,171,46
2021-11-29 16:37:14 UTC,🚀  is now available on  -a yield optimizer &amp; a new AMM DEX running on the #Avalanche network.  🚀 #Orbs network is a decentralized public blockchain designed to provide scalability and low fees.  🔽INFO  https://t.co/Pfp1btbj7y  #AvalancheSpace  https://t.co/9ZchUZPgga,avalanche_space,"['avalanche', 'orbs', 'avalanchespace']",[],65,121,23
2021-11-29 16:03:46 UTC,"🍂  $WHEAT is now included in the list of supported platform on , under  network.  🍂 #Growthdefi leveraging the power of #DeFi protocols to maximize capital efficiency &amp; value.  🔗 https://t.co/OiGrrXnGM3  #AvalancheSpace #Avalanche  https://t.co/PulSCMu5Uc",avalanche_space,"['growthdefi', 'defi', 'avalanchespace', 'avalanche']",['wheat'],64,114,29
2021-11-29 15:10:24 UTC,"🦀  is delighted to share its latest program, The Crabada Ambassadorship.  🦀 It aims to give back to their efforts &amp; contributions &amp; passionate members of the community who have actively supported #Crabada.  🔽INFO  https://t.co/E6rpveqH10  #AvalancheSpace #Avalanche",avalanche_space,"['crabada', 'avalanchespace', 'avalanche']",[],60,124,27
2021-11-29 12:10:29 UTC,🚀 Get started with  and  with this technical guide.  🚀 #Chainlink data feeds to create hybrid smart contracts on #Avalanche that use off-chain market data.  🔽INFO  https://t.co/JHhzjeHSJ4  #AvalancheSpace #Avalanche  https://t.co/gkfwyyhlHH,avalanche_space,"['chainlink', 'avalanche', 'avalanchespace', 'avalanche']",[],76,140,36
2021-11-28 13:10:35 UTC,"🍂  is now available on  under ,  and   🍂 #RelayChain enables fast &amp; secure cross-chain token transfers between the world’s leading blockchains.  🔗 https://t.co/qimxbyGix7  #AvalancheSpace  https://t.co/2X5R9oUJKq",avalanche_space,"['relaychain', 'avalanchespace']",[],73,171,25
2021-11-28 11:52:43 UTC,🤝  is delighted to announce a multilayered partnership with   🤝Partnership Benefits for Users:  ✅Lower swap fees for AVAI ✅Lower slippage on higher volume trades ✅No impermanent loss when providing liquidity  🔽INFO  https://t.co/IzTNJcNKHm  #AvalancheSpace,avalanche_space,['avalanchespace'],[],71,130,32
2021-11-28 10:17:38 UTC,🚀 is excited to share they are now officially listed on .  💥Users will now be able to trade $Ql on the  app.  💥Spend it over 80 million merchants worldwide with the  visa card.  🔽INFO  https://t.co/IuzbCcZXd6   #AvalancheSpace  https://t.co/YBYlvT9481,avalanche_space,['avalanchespace'],['ql'],82,182,38
2021-11-28 04:18:39 UTC,💟 now verified on  market.,avalanche_space,[],[],3,5,1
2021-11-28 04:17:24 UTC,AvalancheSpace Daily Digest 11/27/2021  💟 now listed   💟 replenished staking rewards  💟 partnership with   💟 new compounding strategy  💟 multi chain future  💟 now available on   https://t.co/xSPhNNeDlG,avalanche_space,[],[],85,152,48
2021-11-27 17:43:14 UTC,🚀  is thrilled to announce that they are now available on . Start trading &amp; earning on this DApp.  🚀 #WOWSwap is a protocol that lets anyone utilize the benefits of leveraged trading in a community.  🔽INFO  https://t.co/zJJ2BR3eJF  #AvalancheSpace  https://t.co/cfBNUuKaXr,avalanche_space,"['wowswap', 'avalanchespace']",[],63,108,20
2021-11-27 17:04:21 UTC,💥 has a unique place in the Web 3.0 movement &amp; its vision for a multi chain future  ♦️Ankr aims to serve:  💥Staking &amp; earning solutions 💥Satisfy the needs of all users 💥multiply the capabilities of open source blockchains  🔽INFO  https://t.co/bykD4bcPlh  #AvalancheSpace  https://t.co/2aocLOYgva,avalanche_space,['avalanchespace'],[],59,112,20
2021-11-27 16:28:48 UTC,❄  is pleased to inform its new compounding strategy is now live.  ❄ This strategy compounds the $AVAX / $MELT pair from   👇Start depositing here:  https://t.co/V4YG9Y6FPu  #AvalancheSpace #Avalanche  https://t.co/2ONKZYPT5t,avalanche_space,"['avalanchespace', 'avalanche']","['avax', 'melt']",60,116,23
2021-11-27 15:31:15 UTC,"🤝  is excited to share a new partnership with , a community driven on #Avalanche ecosystem.  🤝 #OIG provides a unique platform for Crypto Project teams to raise capital, grow supporters, &amp; crypto investors.  🔽INFO  https://t.co/HmXt8QgmQA  #AvalancheSpace  https://t.co/ceGjJ0fRrb",avalanche_space,"['avalanche', 'oig', 'avalanchespace']",[],52,102,25
2021-11-27 14:13:33 UTC,"⚜️  has replenished over  $60,000 in staking pools across all four chains.  🌟Stake 🌟Relax 🌟Earn  ⚜️ Average 20-25% APY on $MOVR, $AVAX, $MATIC  🔽INFO  https://t.co/TtW3WTUfGS  #AvalancheSpace #Avalanche  https://t.co/F0AV7LlkrX",avalanche_space,"['avalanchespace', 'avalanche']","['movr', 'avax', 'matic']",54,116,25
2021-11-27 11:10:25 UTC,🚀  has been listed in the list of supported platform on   💥High return #DeFi staking protocol 💥Users can now secure their assets                                 for 0.25% per month 💥 $INSUR $YAK  🔗 https://t.co/icQF2yu6NX  #AvalancheSpace #Avalanche  https://t.co/FDfgZBXt3m,avalanche_space,"['defi', 'avalanchespace', 'avalanche']","['insur', 'yak']",84,184,43
2021-11-27 08:59:48 UTC,AvalancheSpace Daily Digest 11/26/2021  💟 Dual rewards in $MELT &amp; $JOE  💟 support #Avalanche  💟 x   💟 $MAXI listed   💟 joins   💟 Dual rewards $MELT &amp; $JOE  https://t.co/WccQtWb1wW,avalanche_space,['avalanche'],"['melt', 'joe', 'maxi', 'melt', 'joe']",100,183,41
2021-11-26 18:18:08 UTC,🦁  joins  one of the staples of the #Avalanche ecosystem.  ☀️Alliance Represents:  ♦️Solidify itself a high quality platform ♦️Self-funding yield farm services ♦️Manage investment risk on the  #Avalanche   🔽INFO  https://t.co/VJIyLDG194 #AvalancheSpace  https://t.co/7462C27KTN,avalanche_space,"['avalanche', 'avalanche', 'avalanchespace']",[],72,140,31
2021-11-26 17:34:20 UTC,🚀  is thrilled to share that $MAXI are now listed on    🚀 #Maximus is a new generation farm yield optimizer on #Avalanche network  🔽INFO  https://t.co/LKkik3fkBX  #AvalancheSpace #Avalanche  https://t.co/IgoVT3AEpu,avalanche_space,"['maximus', 'avalanche', 'avalanchespace', 'avalanche']",['maxi'],66,140,28
2021-11-26 17:02:07 UTC,🍂  has announced its new partnership with   🍂 #Islander is a innovative affiliate marketing and learn to earn platform. built on #Avalanche.  🔗 https://t.co/42afbTn7Zn  #AvalancheSpace  https://t.co/MfAGoIK3eS,avalanche_space,"['islander', 'avalanche', 'avalanchespace']",[],62,102,28
2021-11-26 16:06:38 UTC,💥 announce its supports for the #Avalanche  🤝#Avalanche team can now integrate the $LSS standard to safe their tokens &amp; employ its on chain security parameters  🌟 is a hack mitigation tool for token creators  🔗 https://t.co/WKU3Ew8auU  #AvalancheSpace  https://t.co/rTQXQYLXnY,avalanche_space,"['avalanche', 'avalanche', 'avalanchespace']",['lss'],68,135,28
2021-11-26 13:59:53 UTC,"🚀  launched the $TUSD- $AVAX liquidity pool on , a decentralized trading platform.  🚀 $TUSD is the first $USD-pegged stablecoin native to the #Avalanche protocol.  🔽INFO  https://t.co/UQxSjtF4Bm  #AvalancheSpace #Avalanche",avalanche_space,"['avalanche', 'avalanchespace', 'avalanche']","['tusd', 'avax', 'tusd', 'usd']",63,137,39
2021-11-26 11:38:08 UTC,"🤝 is pleased to partner strategically with   🚀  launched multiple web dApps, which contains:  ✅Wallet management unit ✅Swap unit ✅Farming unit ✅zMetaBoard ✅Staking on ZAM ✅Informative units  🔽INFO  https://t.co/OcPWUtVRdw  #AvalancheSpace",avalanche_space,['avalanchespace'],[],72,145,34
2021-11-26 10:15:02 UTC,"😍 New farm coming online at 18:30 UTC   💰Dual rewards in $MELT and $JOE   ➡️ Head to  or    ➡️ Put your $MELT / $AVAX to good use  🔽To mine $MELT, see👇  https://t.co/JaIaoQuSwg  #AvalancheSpace #Avalanche  https://t.co/MtZEhNXz0k",avalanche_space,"['avalanchespace', 'avalanche']","['melt', 'joe', 'melt', 'avax', 'melt']",81,232,48
2021-11-26 09:46:33 UTC,💟 new #Kickstarter $VEE,avalanche_space,['kickstarter'],['vee'],0,0,2
2021-11-26 09:44:47 UTC,AvalancheSpace Daily Digest 11/25/2021  💟 x   💟 New Farm  💟 partnership   💟 dual reward farm with   💟 now supports   💟 $1M in seed funding  https://t.co/5OYX1kOaAG,avalanche_space,[],[],87,149,37
2021-11-25 17:40:15 UTC,"🚀  has successfully raised over $1 million in seed funding led by GBV Capital, Foresight Ventures, the #Avalanche Foundation.  🚀 #Colony a new ecosystem farming project on #Avalanche  🔽INFO  https://t.co/WgK2Izu7Ui  #AvalancheSpace #Avalanche  https://t.co/mgDhu5TeGK",avalanche_space,"['avalanche', 'colony', 'avalanche', 'avalanchespace', 'avalanche']",[],71,120,21
2021-11-25 17:05:06 UTC,🤝  now supports  &amp; makes its debut as the first-ever automated risk management protocol on #Avalanche  🤝 Users can now purchase protection for the Banker Joe pool for #TraderJoe on #Avalanche.  🔽INFO  https://t.co/zQeb8mhxvR  #AvalancheSpace #Avalanche  https://t.co/Lz9aMAOiwh,avalanche_space,"['avalanche', 'traderjoe', 'avalanche', 'avalanchespace', 'avalanche']",[],67,121,21
2021-11-25 16:06:45 UTC,"🍂  is thrilled to inform a new #Kickstarter session with $VEE . Vote with $MX to share from the 2,175,887 $VEE prize pool.  📅November 26th ⌛04:00 - 11:50 UTC 📊 https://t.co/haS7LNrK4K  🔽Details  https://t.co/uqRW9SNsJS  #AvalancheSpace #Avalanche  https://t.co/r6dFyJd809",avalanche_space,"['kickstarter', 'avalanchespace', 'avalanche']","['vee', 'mx', 'vee']",74,133,27
2021-11-25 14:27:00 UTC,"Hurry up! 24h to go before 's 160,000 $MELT daily rewards go back to normal 🤯  Enjoy the 400% farming APY...  ... and stay tuned about the upcoming dual rewards farm with !  🚀 Launching tomorrow! 🚀  🔽INFO  https://t.co/jUNbxU4dRU  #AvalancheSpace  https://t.co/v7Uz8QVQMu",avalanche_space,['avalanchespace'],['melt'],78,247,50
2021-11-25 14:14:13 UTC,🤝  is thrilled to announce that  joined their Ecosystem Partners.  💥Partnership will bring:  🌟KAIRA - #AVAX Farm!  🌟 $LYD rewards for Kaira #NFT holders! 🌟Kaira Airdrop  🔽INFO  https://t.co/Q7Z4NIDoOG  #AvalancheSpace #Avalanche,avalanche_space,"['avax', 'nft', 'avalanchespace', 'avalanche']",['lyd'],60,122,32
2021-11-25 11:29:46 UTC,👨‍🌾  has announced its New Farm added on #Avaware network  💥 $AAVE- $BOOFI JLP   ⚜️ APR: 500%+ ⚜️ TVL: 11k  🔗 https://t.co/xTgukkzV30  #AvalancheSpace #Avalanche  https://t.co/FYnwZqLlwm,avalanche_space,"['avaware', 'avalanchespace', 'avalanche']","['aave', 'boofi']",62,135,32
2021-11-25 10:48:21 UTC,🤝  is pleased to announce its upcoming integration with .  ♦️Integration will bring:  💥Users can make swaps cheaply 💥Stake single tokens 💥Participate in progressing capital efficiencies within #DeFi  🔽INFO  https://t.co/iY3VNp8Z46  #AvalancheSpace,avalanche_space,"['defi', 'avalanchespace']",[],69,144,34
2021-11-25 06:48:05 UTC,💟 highlights of difference of  &amp; other decentralized network,avalanche_space,[],[],1,2,0
2021-11-25 06:44:32 UTC,AvalancheSpace Daily Digest 11/24/2021  💟 is now on   💟 x   💟 $DUO is now live.  💟  and  Winter Hackathon  💟 launch on   💟 introduced  IGLOOS V2  https://t.co/TM8HsSNaA3,avalanche_space,[],['duo'],97,174,52
2021-11-24 18:06:54 UTC,🐧  is glad to share about its IGLOOS V2.  🐧 #Penguin invites you a direct look at how rewarding their Layer 2 yield farm is.  🔗  https://t.co/9D3tMT3GO7  #AvalancheSpace #Avalanche  https://t.co/aRnyx6R7N5,avalanche_space,"['penguin', 'avalanchespace', 'avalanche']",[],63,92,28
2021-11-24 17:31:20 UTC,"⚜️  will launch on , focused on $CRAFT mainnet launch  📅November 26th ⌚ 17:00 - 18:00 UTC ✴️Listing price is $0.28 ✴️Initial Market Cap $487K  $CRAFT Token Contract: Ox8aE8be25C23833eOA01Aa200403e826F 611f9CD2  🔗 https://t.co/gW1exneL7B #AvalancheSpace  https://t.co/KoWsdt9t16",avalanche_space,['avalanchespace'],"['craft', 'craft']",67,106,32
2021-11-24 16:55:02 UTC,"🤝 &amp;  Foundation are joins forces for a hackathon, begins on December 6 &amp; run until January 31, 2022.  💥Build the next web 3 app 💥DeFi projects on #Avalanche 💥Developers build powerful #Avalanche dApps  🔽INFO  https://t.co/EO4CNJp9r2  #AvalancheSpace",avalanche_space,"['avalanche', 'avalanche', 'avalanchespace']",[],54,88,33
2021-11-24 15:23:40 UTC,💥  is delighted to share $DUO is now live.  ✨Earn dual rewards $DUO $AVAX ✨No transfer tax ✨No slippage ✨Earn $AVAX reward  💥 You can buy $DUO from    🔗 https://t.co/WdHvi3d03W  #AvalancheSpace #Avalanche  https://t.co/oxRkY3mgT9,avalanche_space,"['avalanchespace', 'avalanche']","['duo', 'duo', 'avax', 'avax', 'duo']",52,105,35
2021-11-24 14:42:12 UTC,🔥 see highlights of difference between  &amp; other decentralized networks. &amp; how #Avalanche changes the world of crypto &amp; smartcontract  ✅Empowering users ✅Speed ✅Scalability ✅Security ✅Sustainability  🔽INFO  https://t.co/v4mDUjGRc8  #AvalancheSpace  https://t.co/8CValKBHuZ,avalanche_space,"['avalanche', 'avalanchespace']",[],63,109,40
2021-11-24 12:27:22 UTC,🦁  announce a new partnership with   ♦️Partnership will bring:  ⭐GoodFire token to burn more $LYD ⭐Burn $LYD for a week straight ⭐9% of the GoodFire token volume will be used to burn $LYD  🔽INFO  https://t.co/53tWsHptlq  #AvalancheSpace #Avalanche,avalanche_space,"['avalanchespace', 'avalanche']","['lyd', 'lyd', 'lyd']",80,157,50
2021-11-24 11:06:00 UTC,🚀  is now available on  under  version.  🚀 #Roco developed on #AVAX network for using in 's own game ecosystem and partner games.  🔗 https://t.co/OiGrrXnGM3  #AvalancheSpace #Avalanche  https://t.co/eInCsmNnet,avalanche_space,"['roco', 'avax', 'avalanchespace', 'avalanche']",[],80,148,52
2021-11-24 09:57:27 UTC,💟 Apricot Phase 5 activate on the Fuji Testnet,avalanche_space,[],[],1,3,0
2021-11-24 09:55:45 UTC,AvalancheSpace Daily Digest 11/23/2021  💟 alliance w/   💟 add $USDT.e to crypto sector  💟 #PangolinV2 is live  💟  Yield farming  💟  2.0.2 version desktop wallet  💟 Integrated with #Avalanche  https://t.co/2fRy2OQhpi,avalanche_space,"['pangolinv2', 'avalanche']",['usdt.e'],81,133,49
2021-11-23 18:00:23 UTC,"🤝  announce that #Avalanche is now fully supported on the Ghostmarket NFT platform.  ♦️Trade, auction, and bid ♦️Place offers using MetaMask or WalletConnect ♦️Mint ERC721 or ERC1155 NFTs on the #Avalanche C-chain  🔽INFO  https://t.co/HuNbY6vuPy  #AvalancheSpace  https://t.co/r9eSWjb5tW",avalanche_space,"['avalanche', 'avalanche', 'avalanchespace']",[],60,116,25
2021-11-23 16:45:53 UTC,"🚀  is pleased to share a version 2.0.2 of #AVME desktop wallet for #Avalanche   🚀 This new update includes general performance improvements and support for EIP712, as well as several bug fixes.  🔽INFO  https://t.co/zRkpGqciY2  #AvalancheSpace #Avalanche  https://t.co/4CavxNZHeX",avalanche_space,"['avme', 'avalanche', 'avalanchespace', 'avalanche']",[],52,97,26
2021-11-23 15:50:27 UTC,"✨  announced the Apricot Phase 5 will activate on the Fuji Testnet at 10 a.m. EST (3 p.m. UTC) on Wednesday, November 24th  💣P&lt;C Atomic Transfers 💣Atomic Transaction Batching 💣C-Chain Fee Algorithm Optimizations  🔽INFO  https://t.co/ZUTUpOzAKJ  #AvalancheSpace  https://t.co/6uhGRffk8S",avalanche_space,['avalanchespace'],[],52,91,17
2021-11-23 15:23:51 UTC,💢 Find out about the  approach to reducing risk &amp; taxable events with $USDC.e &amp; Index Yield Farming  ⭐Leveraged borrowing ⭐TVL &amp; Incentives ⭐Oh allows users to balance risk profile across multiple high yield output  🔽INFO  https://t.co/pATcbG5GI4 #AvalancheSpace,avalanche_space,['avalanchespace'],['usdc.e'],63,115,25
2021-11-23 13:56:58 UTC,🍂  is pleased to inform you the #PangolinV2 is now live. Start Farm migration now  💥Smarter contracts for better rewards 💥2 million $PNG tokens added to rewards for the next 30 days 💥57% of token supply burn begins  🔽INFO  https://t.co/SJR0xfQMpD  #AvalancheSpace  https://t.co/t7QFjwp7tT,avalanche_space,"['pangolinv2', 'avalanchespace']",['png'],71,188,36
2021-11-23 13:26:42 UTC,"💥  will add $USDT.e to the crypto sector. Each sector has different parameters, &amp; lending needs  🔶Supply AVAX, WBTC.e, or WETH.e in the crypto sector to borrow USDT.e 🔶Supply USDT.e to borrow AVAX, WBTC.e, or WETH.e  🔽Details  https://t.co/J1Wh8oNkfA #AvalancheSpace",avalanche_space,['avalanchespace'],['usdt.e'],68,140,39
2021-11-23 12:00:43 UTC,🤝 formed a alliance with  a new disaster recovery platform (CAYG).  ✅Streamlining recovery efforts ✅Simplifying document retention ✅Reducing administrative costs ✅Mitigating risk ✅Building resiliency  🔽INFO  https://t.co/JtMBHuOhqQ #AvalancheSpace,avalanche_space,['avalanchespace'],[],63,124,33
2021-11-23 10:14:43 UTC,"Biweekly Review, 5 &amp; 6",avalanche_space,[],[],0,1,0
2021-11-23 10:14:06 UTC,AvalancheSpace Daily Digest 11/22/2021  💟 $AVAX now 10 largest crypto market cap.  💟 x   💟 #NFT project update  💟 burning 57% of $PNG supply  💟 minting  $H2O  💟 now on   https://t.co/XQUqCtGBoL,avalanche_space,['nft'],"['avax', 'png']",71,133,38
2021-11-22 17:19:50 UTC,"🚀  is now included in the list of supported platform on , under #Avalanche version.  🚀 #FortressDAO is a decentralized reserve currency, forked from the successful and secure Olympus DAO.  🔗 https://t.co/OiGrrXnGM3  #AvalancheSpace #Avalanche  https://t.co/KhTCKcbItB",avalanche_space,"['avalanche', 'fortressdao', 'avalanchespace', 'avalanche']",[],69,111,22
2021-11-22 16:41:34 UTC,"🚀 's launch warm-up starts today! 😍  ✅Start minting H2O now and from tomorrow at 16:00 UTC get their $MELT rewards.  🤯 160,000 $MELT a day for the first 3 days 🤯  🔽INFO  https://t.co/jUNbxU4dRU #AvalancheSpace #Avalanche  https://t.co/m6CBb2IYwL",avalanche_space,"['avalanchespace', 'avalanche']","['melt', 'melt']",93,222,47
2021-11-22 16:12:17 UTC,🔥  is burning 57% of the $PNG token supply. Start exchanging $PNG on  and witness burns together.  🔥 #ICRYPEX is a Turkey based cryptocurrency exchange which has its own nodes.  🔗  https://t.co/7Wq9XXUBmV  #AvalancheSpace #Avalanche  https://t.co/Czh5S5UsZt,avalanche_space,"['icrypex', 'avalanchespace', 'avalanche']","['png', 'png']",65,134,27
2021-11-22 15:24:07 UTC,"💢  published a Biweekly Review: Weeks 5 &amp; 6  ✅HurricaneSwap V2 is in final-stage testing, &amp; launched soon ✅Security Audit update ✅Partners with   &amp;   ✅Rewards Trading Competition  🔽INFO  https://t.co/HbOJC7ZsUn  #AvalancheSpace",avalanche_space,['avalanchespace'],[],51,108,27
2021-11-22 14:10:37 UTC,🐇  has released the last update of the #NFT project.  🐰Final preview for the #NFT project 🐰Finishing all the creative processes 🐰#NFT different clothing mutations  🔽INFO  https://t.co/GlKkbSr0ha  #AvalancheSpace #Avalanche,avalanche_space,"['nft', 'nft', 'nft', 'avalanchespace', 'avalanche']",[],72,166,38
2021-11-22 11:50:06 UTC,"🦁  is excited to share a new partnership with , and starting a farm on #LydiaFinance.  ⭐Partnership Highlights:  👨‍🌾Farm $HCT/ $AVAX on #LydiaFinance 👨‍🌾Farm $LYD/ $HCT on #HurricaneSwap  🔽INFO  https://t.co/oqlVVRhqGz  #AvalancheSpace #Avalanche",avalanche_space,"['lydiafinance', 'lydiafinance', 'hurricaneswap', 'avalanchespace', 'avalanche']","['hct', 'avax', 'lyd', 'hct']",59,139,33
2021-11-22 10:29:13 UTC,🔥  $AVAX is now the 10th largest cryptocurrency by market capitalization.  💥 $AVAX entered the top-10 crypto index 💥Circulating market valuation reached $30.60 billion 💥 $AVAX price hits another record high  🔽Details  https://t.co/HX3c5plpDw  #AvalancheSpace  https://t.co/Rf4RI3wwU9,avalanche_space,['avalanchespace'],"['avax', 'avax', 'avax']",72,135,36
2021-11-22 01:28:57 UTC,AvalancheSpace Daily Digest 11/21/2021  💟 new incentives  💟 new farming strategies  💟 $MAXI is now live   💟 Launch lce Age Mining #7  💟 now available   https://t.co/0AHk4gNgHR,avalanche_space,[],['maxi'],88,158,54
2021-11-21 17:44:12 UTC,🚀  is now available  on #Avalanche   🚀 You can now track your yield and reward from #Snowbank on   👉  https://t.co/K1aYEwoW39  #AvalancheSpace #Avalanche  https://t.co/iFJDlfijLL,avalanche_space,"['avalanche', 'snowbank', 'avalanchespace', 'avalanche']",[],62,107,26
2021-11-21 16:20:58 UTC,🔥  Launch the Ice Age Mining #7 on the  network.  ⛏️Supporting USDC cross-chain liquidity mining. ⛏️Stake LP-USDC To Earn O3 ⛏️Stake O3 To Earn O3  🔽Details   https://t.co/SCWMYfVVke  #AvalancheSpace #Avalanche,avalanche_space,"['avalanchespace', 'avalanche']",[],67,124,31
2021-11-21 13:54:03 UTC,🦁  has announced the $MAXI  Electrum Pool is now live.  🦁 Stake $LYD 👑 Earn $MAXI  #Maximus is a new generation yield Farming aggregator &amp; optimizer for #Avalanche.  🔽INFO  https://t.co/BBsBd2Fzgm  #AvalancheSpace #Avalanche  https://t.co/bhMtZHRGTl,avalanche_space,"['maximus', 'avalanche', 'avalanchespace', 'avalanche']","['maxi', 'lyd', 'maxi']",64,209,32
2021-11-21 11:45:58 UTC,"🦌  now offers one-click leveraged farming strategies for , including 32% APY in the $AVAX pool.  ⭐Optimize single-asset deposits ⭐Automatically compound your returns ⭐Earns incentivized APY  🔽INFO  https://t.co/Vq1Wr99WFv  #AvalancheSpace #Avalanche",avalanche_space,"['avalanchespace', 'avalanche']",['avax'],79,147,43
2021-11-21 09:52:40 UTC,🍁  is pleased to share the new incentives for $MAI &amp; $QI liquidity on .  📅Farm start on November 22 ⌚3PM UTC 💥Start block: 7284945  👇Stake LP token here  https://t.co/bJup0lX2W9  #AvalancheSpace #Avalanche  https://t.co/IbqMwJFePQ,avalanche_space,"['avalanchespace', 'avalanche']","['mai', 'qi']",86,163,43
2021-11-21 03:16:10 UTC,💟 #BoogeyBirdsNFT created by,avalanche_space,['boogeybirdsnft'],[],1,2,0
2021-11-21 03:14:49 UTC,"AvalancheSpace Daily Digest 11/20/2021  💟 launch #Pangolin V2  💟 listed    💟 #PenguinLaunchpad, back  💟 1M $AXIAL given xSNOB holder  💟 $AVAX is now on   💟 #Avalanche popular #DeFi services  https://t.co/3KiTD5i03l",avalanche_space,"['pangolin', 'penguinlaunchpad', 'avalanche', 'defi']","['axial', 'avax']",81,133,36
2021-11-20 18:20:57 UTC,🌟  is #Avalanche most popular #DeFi service. Increased user counts 200% in the past 30 days.  💠Boosted its user base by 37% 💠Upwards of 43.000 unique active wallets 💠Ranks first in the  Exchange charts  🔽INFO  https://t.co/s0AWje7JAz  #AvalancheSpace  https://t.co/d8mAg6q2N1,avalanche_space,"['avalanche', 'defi', 'avalanchespace']",[],62,86,21
2021-11-20 17:36:45 UTC,🚀  $AVAX can now be found on   🚀 #Titan is an active investment management operating system that enhances investment products and experiences for individual investors.  🔗  https://t.co/jA7jA8fwFV  #AvalancheSpace #Avalanche  https://t.co/1YiqniGS4T,avalanche_space,"['titan', 'avalanchespace', 'avalanche']",['avax'],58,94,20
2021-11-20 16:51:57 UTC,"❄ This week is the first week that  $AXIAL tokens will be distributed to holders of xSNOB    ⛄Over 1,000,000 $AXIAL ⛄Distributed to xSNOB holders ⛄Incubating &amp; launch of Axial's unique DAO.  🔗 https://t.co/YYReTRvh4Y  #AvalancheSpace #Avalanche  https://t.co/iX4KAJ48w8",avalanche_space,"['avalanchespace', 'avalanche']","['axial', 'axial']",53,87,23
2021-11-20 15:20:02 UTC,"🐧  announced the new #PenguinLaunchpad, is back  💥New Features of Penguin Rebirth:  ✴️Complete Ul redesign. ✴️New allocation mechanisms ✴️Lower barrier of entry  🔽INFO  https://t.co/w5x28GBR1b  #AvalancheSpace #Avalanche",avalanche_space,"['penguinlaunchpad', 'avalanchespace', 'avalanche']",[],55,100,25
2021-11-20 13:54:55 UTC,"🐦  #BoogeyBirdsNFT the stakeable #NFT collection on #Avalanche created by    🌟Staking start on November 23rd 🌟Boost stake-ability, boogey bird 🌟Stake Birdie at canary exchange 🌟Earn $CNR token  🔽INFO  https://t.co/rRbtGan9en  #AvalancheSpace  https://t.co/yJxZe5axo8",avalanche_space,"['boogeybirdsnft', 'nft', 'avalanche', 'avalanchespace']",['cnr'],49,116,30
2021-11-20 12:35:42 UTC,🍃  $JOE will be listed on  a secure and reliable Crypto asset exchange for trading.  🍃 Join the #MEXC Kickstarter event and get $JOE tokens  🔗  https://t.co/Amzq6q2Zm4  #AvalancheSpace #Avalanche  https://t.co/8SySxHMEgE,avalanche_space,"['mexc', 'avalanchespace', 'avalanche']","['joe', 'joe']",64,123,37
2021-11-20 10:43:52 UTC,"🍂  launches their #Pangolin V2 on November 21, with deployment on #Avalanche.  ✅Improved tokenomics ✅Dramatically reduced $PNG supply ✅Liquidity Provider Optimization ✅Additional LP Rewards ✅A new UX  🔽INFO  https://t.co/AiempRhpG7 #AvalancjeSpace #Avalanche",avalanche_space,"['pangolin', 'avalanche', 'avalancjespace', 'avalanche']",['png'],77,135,41
2021-11-20 09:44:39 UTC,💟 brings enhanced NFT experiences,avalanche_space,[],[],0,1,0
2021-11-20 09:43:25 UTC,AvalancheSpace Daily Digest 11/20/2021  💟 investment in   💟 partners   💟 farming strategies   💟 #AMA at   💟 live next week  💟 is now on   https://t.co/v41Sb6F817,avalanche_space,['ama'],[],77,133,33
